oopID;rate;data
010413;0.257057142857;{'12-2013': 1.0, '2-2014': 0.0, '4-2014': 1.0, '6-2013': 0.0, '1-2014': 0.0, '6-2014': -1.0, '5-2013': 1.0}
031111;nan;{}
150811;0.2772;{'9-2015': 0.0, '5-2014': 0.0, '8-2015': 0.0, '4-2015': 1.0, '5-2015': 0.0, '6-2013': 1.0, '4-2014': 1.0, '7-2015': 2.0, '8-2013': 0.0, '7-2013': 1.0}
001215;1.56095757576;{'12-2014': 4.0, '7-2014': 4.0, '8-2013': 2.0, '5-2015': 3.0, '9-2014': 3.0, '4-2014': 2.0, '7-2015': 5.0, '3-2014': 3.0, '11-2013': 2.0, '7-2013': 2.0, '8-2014': 4.0, '9-2013': 5.0, '1-2013': 6.0, '6-2014': 1.0, '5-2013': 1.0, '12-2013': 3.0, '11-2014': 3.0, '8-2015': 3.0, '4-2015': 5.0, '2-2015': 1.0, '1-2014': 5.0, '10-2014': 5.0, '5-2014': 4.0, '10-2013': 0.0, '9-2015': 5.0, '3-2013': 4.0, '3-2015': 1.0, '2-2014': 4.0, '4-2013': 2.0, '6-2013': 5.0, '2-2013': 4.0, '6-2015': 0.0, '1-2015': 5.0}
140812;0.321126666667;{'8-2015': 0.0, '9-2013': 1.0, '4-2014': 1.0, '7-2015': 1.0, '4-2013': 1.0, '10-2014': 0.0, '7-2013': 1.0, '10-2013': -1.0, '1-2013': 1.0, '3-2013': 0.0, '2-2014': 1.0, '8-2014': 2.0, '9-2014': 0.0, '6-2014': -1.0, '5-2013': -1.0}
060317;0.2210125;{'12-2013': 2.0, '1-2013': 1.0, '4-2014': 0.0, '8-2013': 1.0, '11-2013': 1.0, '7-2013': 1.0, '10-2013': 1.0, '11-2014': 0.0, '3-2013': 1.0, '7-2014': 2.0, '1-2014': 0.0, '9-2014': 0.0, '2-2013': 0.0, '6-2015': 0.0, '1-2015': 0.0, '5-2013': 0.0}
011115;0.5119;{'8-2013': 0.0, '9-2013': 1.0, '10-2013': 0.0, '7-2013': 1.0}
031119;0.184166666667;{'4-2013': 0.0, '1-2013': 1.0, '3-2013': 0.0}
181114;0.277370588235;{'9-2013': -1.0, '5-2015': 0.0, '4-2014': 1.0, '7-2015': 1.0, '4-2013': 0.0, '8-2013': 1.0, '7-2013': -1.0, '10-2013': 0.0, '3-2013': 1.0, '3-2014': 1.0, '2-2014': 0.0, '1-2014': 1.0, '4-2015': 1.0, '1-2013': 1.0, '6-2015': 1.0, '6-2014': -1.0, '5-2013': 2.0}
001210;15.7703090909;{'12-2014': 28.0, '7-2014': 37.0, '8-2013': 43.0, '5-2015': 14.0, '9-2014': 23.0, '4-2014': 19.0, '7-2015': 30.0, '3-2014': 31.0, '11-2013': 34.0, '7-2013': 40.0, '8-2014': 18.0, '9-2013': 44.0, '1-2013': 45.0, '6-2014': 40.0, '5-2013': 53.0, '12-2013': 22.0, '11-2014': 29.0, '8-2015': 17.0, '4-2015': 24.0, '2-2015': 18.0, '1-2014': 39.0, '10-2014': 36.0, '5-2014': 29.0, '10-2013': 28.0, '9-2015': 15.0, '3-2013': 54.0, '3-2015': 31.0, '2-2014': 34.0, '4-2013': 37.0, '6-2013': 58.0, '2-2013': 35.0, '6-2015': 21.0, '1-2015': 24.0}
161612;0.35284516129;{'12-2014': 2.0, '1-2013': 3.0, '8-2013': 0.0, '5-2015': 2.0, '4-2014': 2.0, '7-2015': 1.0, '3-2014': 0.0, '11-2013': 1.0, '7-2013': 0.0, '8-2014': 3.0, '6-2013': 3.0, '9-2014': 2.0, '6-2014': 0.0, '5-2013': 0.0, '12-2013': 3.0, '11-2014': 1.0, '7-2014': 0.0, '9-2013': 3.0, '2-2015': 0.0, '1-2014': 1.0, '10-2014': 1.0, '5-2014': 2.0, '10-2013': 1.0, '9-2015': 1.0, '3-2013': 6.0, '3-2015': 0.0, '2-2014': 5.0, '4-2013': 2.0, '2-2013': 0.0, '6-2015': 3.0, '1-2015': 2.0}
010810;nan;{}
030420;3.0722;{'4-2013': 1.0, '5-2013': 0.0, '8-2013': 1.0}
051021;0.9573;{'9-2013': 1.0, '10-2014': 1.0, '10-2013': 0.0, '12-2014': 0.0}
180520;0.358733333333;{'9-2013': 0.0, '5-2015': 1.0, '8-2014': 1.0, '7-2015': 0.0, '8-2013': 1.0, '10-2014': -1.0}
170614;0.549196774194;{'12-2014': 1.0, '7-2014': 2.0, '8-2013': 2.0, '5-2015': 2.0, '4-2014': 1.0, '7-2015': 1.0, '3-2014': 2.0, '11-2013': 2.0, '7-2013': 1.0, '8-2014': 1.0, '9-2013': 2.0, '9-2014': 2.0, '6-2014': 0.0, '5-2013': 1.0, '12-2013': 0.0, '11-2014': 1.0, '8-2015': 0.0, '4-2015': 1.0, '2-2015': 2.0, '1-2014': 2.0, '10-2014': 1.0, '10-2013': 3.0, '9-2015': 0.0, '3-2013': 3.0, '3-2015': 2.0, '2-2014': 2.0, '4-2013': 3.0, '6-2013': 1.0, '2-2013': 2.0, '6-2015': 0.0, '1-2015': 1.0}
010713;0.513218181818;{'12-2014': 2.0, '7-2014': 2.0, '5-2015': 0.0, '4-2014': 1.0, '11-2013': 1.0, '8-2014': 2.0, '9-2014': 2.0, '6-2014': -1.0, '12-2013': 3.0, '11-2014': 2.0, '8-2015': 2.0, '4-2015': 1.0, '2-2015': 2.0, '1-2014': 0.0, '10-2014': 0.0, '10-2013': 1.0, '9-2015': 0.0, '5-2014': 1.0, '3-2015': 2.0, '2-2014': 0.0, '6-2015': 0.0, '1-2015': 0.0}
040817;0.533895;{'12-2013': 3.0, '2-2015': 1.0, '9-2013': 1.0, '2-2014': 2.0, '3-2014': -1.0, '8-2013': 0.0, '10-2014': 1.0, '11-2013': 0.0, '7-2013': 2.0, '6-2014': 1.0, '11-2014': 0.0, '3-2013': -1.0, '3-2015': 0.0, '7-2014': 1.0, '1-2014': 0.0, '9-2014': 1.0, '6-2015': 0.0, '1-2013': 1.0, '9-2015': -1.0, '5-2015': 1.0}
